Node label	Matching Sequences	Origin
SRR1572438	SRR1572438	Peru
	SRR1572348	Peru
	SRR1572382	Mexico
	En_Tibi	
	SRR1572243	Ecuador
	SRR1572309	Honduras
	SRR1572314	Peru
	SRR1572326	Ecuador
	SRR1572328	Peru
	SRR1572338	Peru
	SRR1572372	Peru
	SRR1572379	Peru
	SRR1572393	Peru
	SRR1572402	Ecuador
	SRR1572416	Ecuador
	SRR1572418	Peru
	SRR1572421	Peru
	SRR1572431	Ecuador
	SRR1572433	Peru
	SRR1572435	Ecuador
	SRR1572437	Ecuador
	SRR1572442	Peru
	SRR1572480	Peru
	SRR1572524	Peru
	SRR1572530	Chile
	SRR1572541	Peru
	SRR1572575	Peru
	SRR1572621	Ecuador
	SRR1572630	Peru
	SRR1572632	Brazil
SRR1572248	SRR1572248	Ecuador
	SRR1572246	Peru
	SRR1572250	Peru
	SRR1572236	Peru
	SRR1572233	Ecuador
	SRR1572234	Ecuador
	SRR1572235	Peru
	SRR1572239	Peru
	SRR1572251	Peru
	SRR1572254	Peru
	SRR1572256	Peru
	SRR1572271	Peru
	SRR1572274	Peru
	SRR1572276	Peru
	SRR1572277	Peru
	SRR1572288	Peru
	SRR1572289	Peru
	SRR1572292	Peru
	SRR1572329	Peru
	SRR1572376	Peru
SRR1572330	SRR1572330	Peru
	SRR1572623	Peru
SRR1572385	SRR1572385	Brazil
	SRR1572397	Brazil
SRR1572240	SRR1572240	Peru
	SRR1572270	Peru
SRR1572249	SRR1572249	Ecuador
	SRR1572374	Ecuador
SRR1572688	SRR1572688	Ecuador
	SRR1572689	Ecuador
